"102"	21.65
"105"	19.55
"108"	13.76
"111"	11.17
"114"	15.43
"117"	18.92
"12"	23.87
"120"	13.32
"123"	15.04
"126"	18.1
"129"	13.77
"132"	43.29
"135"	17.63
"138"	36.83
"141"	11.77
"144"	16.31
"147"	12.69
"15"	14.14
"150"	18.03
"153"	13.11
"156"	18.9
"159"	13.72
"162"	14.61
"165"	17.98
"168"	12.4
"171"	12.39
"174"	12.58
"177"	18.68
"18"	13.86
"180"	29.57
"183"	11.59
"186"	16.32
"189"	14.68
"192"	17.76
"195"	20.34
"198"	12.77
"201"	9.44
"204"	3.18
"207"	8.06
"21"	20.06
"210"	17.5
"213"	15.92
"216"	27.96
"219"	44.98
"222"	29.25
"225"	14.44
"228"	15.35
"231"	16.35
"234"	14.51
"237"	11.87
"24"	13.06
"240"	13.61
"243"	15.86
"246"	15.23
"249"	14.45
"252"	19.36
"255"	15.83
"258"	20.0
"261"	21.36
"264"	14.31
"27"	8.27
"3"	21.17
"30"	24.57
"33"	17.61
"36"	16.39
"39"	17.77
"42"	12.47
"45"	17.98
"48"	14.2
"51"	15.8
"54"	16.55
"57"	13.97
"6"	7.05
"60"	12.09
"63"	18.73
"66"	17.33
"69"	16.25
"72"	19.18
"75"	12.42
"78"	12.5
"81"	12.6
"84"	11.45
"87"	19.95
"9"	84.05
"90"	13.69
"93"	33.51
"96"	15.27
"99"	12.2
"1"	7.81
"10"	49.29
"100"	14.96
"106"	13.67
"109"	60.23
"112"	13.96
"115"	13.63
"118"	11.71
"121"	13.65
"124"	28.47
"127"	15.08
"13"	19.01
"130"	34.68
"133"	16.14
"136"	10.9
"139"	59.2
"142"	13.37
"145"	12.32
"148"	16.18
"151"	12.72
"154"	23.97
"157"	20.02
"16"	21.45
"160"	19.59
"163"	15.37
"166"	14.35
"169"	15.34
"172"	15.56
"175"	12.34
"178"	6.46
"181"	15.36
"184"	16.32
"187"	38.61
"19"	12.01
"190"	18.8
"193"	13.92
"196"	17.17
"199"	16.95
"202"	15.74
"205"	24.64
"208"	26.12
"211"	16.27
"214"	9.55
"217"	17.09
"22"	21.46
"220"	11.6
"223"	14.45
"226"	16.07
"229"	12.79
"232"	16.71
"235"	16.45
"238"	12.42
"241"	14.75
"244"	16.34
"247"	15.59
"25"	15.0
"250"	16.28
"253"	21.8
"256"	15.62
"259"	14.69
"262"	12.35
"265"	9.1
"28"	27.69
"31"	24.42
"34"	15.38
"37"	15.64
"4"	14.5
"40"	15.72
"43"	15.12
"46"	17.16
"49"	13.5
"52"	16.84
"55"	24.3
"58"	6.04
"61"	14.85
"64"	12.83
"67"	18.92
"7"	12.78
"70"	24.72
"73"	20.37
"76"	21.25
"79"	14.7
"82"	14.16
"85"	19.27
"88"	21.16
"91"	20.4
"94"	18.9
"97"	15.22
"101"	18.12
"104"	23.0
"107"	13.68
"11"	16.73
"110"	3.0
"113"	14.51
"116"	15.15
"119"	15.84
"122"	26.7
"125"	15.41
"128"	14.41
"131"	13.66
"134"	15.36
"137"	13.29
"14"	16.39
"140"	13.44
"143"	12.62
"146"	14.56
"149"	16.28
"152"	13.67
"155"	26.55
"158"	16.13
"161"	15.1
"164"	14.93
"167"	14.52
"17"	13.54
"170"	14.2
"173"	14.16
"176"	30.29
"179"	14.01
"182"	13.48
"185"	18.28
"188"	15.66
"191"	15.98
"194"	24.51
"197"	15.21
"2"	37.7
"20"	13.66
"200"	12.38
"203"	26.73
"206"	13.12
"209"	18.65
"212"	20.64
"215"	48.06
"218"	20.21
"221"	13.92
"224"	13.22
"227"	14.07
"23"	12.34
"230"	16.44
"233"	14.78
"236"	12.26
"239"	12.64
"242"	13.75
"245"	8.33
"248"	15.25
"251"	11.41
"254"	18.54
"257"	14.94
"26"	11.57
"260"	15.02
"263"	11.67
"29"	21.45
"32"	19.68
"35"	18.96
"38"	50.52
"41"	12.47
"44"	11.5
"47"	16.11
"5"	11.0
"50"	14.38
"53"	16.67
"56"	19.62
"59"	16.3
"62"	14.83
"65"	16.47
"68"	14.84
"71"	15.84
"74"	12.14
"77"	19.47
"8"	17.01
"80"	14.67
"83"	15.39
"86"	13.94
"89"	15.52
"92"	17.06
"95"	17.37
"98"	11.82
